"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Runs a test for each test case, either manually defined or dynamically fetched.
","43900","test_run[test_case222]","GB/en","Tue May 13 09:12:51 GMT 2025","passed","Tue May 13 09:13:35 GMT 2025","W206 - C-CLASS (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","46204","test_run[test_case217]","GB/en","Tue May 13 09:02:57 GMT 2025","failed","Tue May 13 09:03:44 GMT 2025","C167-fl - GLE-COUPE (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","39566","test_run[test_case224]","GB/en","Tue May 13 09:14:17 GMT 2025","passed","Tue May 13 09:14:56 GMT 2025","N465 - G-CLASS-ELECTRIC (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","39016","test_run[test_case215]","GB/en","Tue May 13 08:55:41 GMT 2025","passed","Tue May 13 08:56:20 GMT 2025","V297 - EQS (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32901","test_run[test_case188]","CH/it","Tue May 13 08:57:02 GMT 2025","passed","Tue May 13 08:57:35 GMT 2025","C167-fl - GLE-COUPE (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38321","test_run[test_case600]","PT/pt","Tue May 13 11:35:39 GMT 2025","passed","Tue May 13 11:36:17 GMT 2025","W465 - G-CLASS (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37091","test_run[test_case278]","DE/de","Tue May 13 09:22:14 GMT 2025","passed","Tue May 13 09:22:51 GMT 2025","V297 - EQS (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37647","test_run[test_case586]","PT/pt","Tue May 13 11:23:23 GMT 2025","passed","Tue May 13 11:24:01 GMT 2025","S206 - C-CLASS (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40321","test_run[test_case673]","SK/sk","Tue May 13 12:02:24 GMT 2025","passed","Tue May 13 12:03:05 GMT 2025","X167-fl - GLS (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32845","test_run[test_case354]","ES/es","Tue May 13 10:58:29 GMT 2025","passed","Tue May 13 10:59:01 GMT 2025","X118-fl - CLA-SHOOTING-BRAKE (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37690","test_run[test_case193]","CH/it","Tue May 13 09:00:37 GMT 2025","passed","Tue May 13 09:01:15 GMT 2025","W206 - C-CLASS (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","1","test_run[test_case17]","","Tue May 13 08:07:21 GMT 2025","passed","Tue May 13 08:07:21 GMT 2025","","QAAppAllure","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","34717","test_run[test_case691]","SK/sk","Tue May 13 12:07:22 GMT 2025","passed","Tue May 13 12:07:56 GMT 2025","S214 - E-CLASS (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38619","test_run[test_case150]","CH/fr","Tue May 13 08:31:23 GMT 2025","passed","Tue May 13 08:32:01 GMT 2025","R232 - SL (CABRIOLET-ROADSTER)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38234","test_run[test_case153]","CH/fr","Tue May 13 08:37:09 GMT 2025","passed","Tue May 13 08:37:47 GMT 2025","V223 - S-CLASS (SALOON-LONG)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32264","test_run[test_case108]","BE/fr","Tue May 13 09:01:10 GMT 2025","passed","Tue May 13 09:01:42 GMT 2025","X243-fl - EQB (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40222","test_run[test_case635]","SE/sv","Tue May 13 11:46:49 GMT 2025","passed","Tue May 13 11:47:29 GMT 2025","X247-fl - GLB (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38346","test_run[test_case408]","HU/hu","Tue May 13 10:06:00 GMT 2025","passed","Tue May 13 10:06:39 GMT 2025","N465 - G-CLASS-ELECTRIC (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","47763","test_run[test_case88]","BE/fr","Tue May 13 08:17:52 GMT 2025","failed","Tue May 13 08:18:40 GMT 2025","R232 - SL (CABRIOLET-ROADSTER)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","52648","test_run[test_case655]","SE/sv","Tue May 13 11:58:47 GMT 2025","passed","Tue May 13 11:59:39 GMT 2025","X243-fl - EQB (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","39883","test_run[test_case152]","CH/fr","Tue May 13 08:35:41 GMT 2025","passed","Tue May 13 08:36:21 GMT 2025","V295 - EQE (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","42440","test_run[test_case360]","ES/es","Tue May 13 11:18:57 GMT 2025","failed","Tue May 13 11:19:40 GMT 2025","S214 - E-CLASS (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","39238","test_run[test_case61]","BE/nl","Tue May 13 08:23:00 GMT 2025","passed","Tue May 13 08:23:39 GMT 2025","V297 - SALOON (MODELS)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36395","test_run[test_case454]","LU/de","Tue May 13 10:24:43 GMT 2025","passed","Tue May 13 10:25:19 GMT 2025","X247-fl - GLB (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","39793","test_run[test_case621]","RO/ro","Tue May 13 11:49:25 GMT 2025","passed","Tue May 13 11:50:05 GMT 2025","C236 - CLE (COUPE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38240","test_run[test_case148]","CH/fr","Tue May 13 08:27:17 GMT 2025","passed","Tue May 13 08:27:56 GMT 2025","W223 - S-CLASS (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","33104","test_run[test_case191]","CH/it","Tue May 13 08:59:28 GMT 2025","passed","Tue May 13 09:00:01 GMT 2025","W247-fl - B-CLASS (HATCHBACK)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","44497","test_run[test_case220]","GB/en","Tue May 13 09:08:15 GMT 2025","failed","Tue May 13 09:09:00 GMT 2025","W247-fl - B-CLASS (HATCHBACK)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36015","test_run[test_case442]","IT/it","Tue May 13 10:12:57 GMT 2025","passed","Tue May 13 10:13:33 GMT 2025","V167-fl - GLE (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","48084","test_run[test_case386]","FR/fr","Tue May 13 10:18:52 GMT 2025","failed","Tue May 13 10:19:40 GMT 2025","C174 - CLA-ELECTRIC (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38859","test_run[test_case662]","SK/sk","Tue May 13 12:00:23 GMT 2025","passed","Tue May 13 12:01:02 GMT 2025","X296 - EQS (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36620","test_run[test_case324]","DK/da","Tue May 13 09:33:21 GMT 2025","passed","Tue May 13 09:33:58 GMT 2025","X243-fl - EQB (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","46597","test_run[test_case39]","AT/de","Tue May 13 08:27:47 GMT 2025","passed","Tue May 13 08:28:34 GMT 2025","N465 - G-CLASS-ELECTRIC (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36150","test_run[test_case529]","NL/nl","Tue May 13 10:57:31 GMT 2025","passed","Tue May 13 10:58:07 GMT 2025","X254 - GLC (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40479","test_run[test_case325]","DK/da","Tue May 13 09:33:58 GMT 2025","passed","Tue May 13 09:34:38 GMT 2025","C174 - CLA-ELECTRIC (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","33900","test_run[test_case422]","IT/it","Tue May 13 10:19:41 GMT 2025","passed","Tue May 13 10:20:15 GMT 2025","X296 - EQS (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36012","test_run[test_case414]","HU/hu","Tue May 13 10:12:20 GMT 2025","passed","Tue May 13 10:12:56 GMT 2025","X118-fl - CLA-SHOOTING-BRAKE (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","43893","test_run[test_case350]","ES/es","Tue May 13 10:47:12 GMT 2025","failed","Tue May 13 10:47:56 GMT 2025","W177-fl - A-CLASS (HATCHBACK)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35966","test_run[test_case450]","IT/it","Tue May 13 10:19:37 GMT 2025","passed","Tue May 13 10:20:13 GMT 2025","S214 - E-CLASS (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","47619","test_run[test_case637]","SE/sv","Tue May 13 11:49:20 GMT 2025","passed","Tue May 13 11:50:08 GMT 2025","V295 - EQE (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","34885","test_run[test_case201]","CH/it","Tue May 13 09:08:18 GMT 2025","passed","Tue May 13 09:08:53 GMT 2025","X118-fl - CLA-SHOOTING-BRAKE (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","39247","test_run[test_case219]","GB/en","Tue May 13 09:04:58 GMT 2025","passed","Tue May 13 09:05:38 GMT 2025","S206 - C-CLASS (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37387","test_run[test_case259]","CZ/cs","Tue May 13 10:04:22 GMT 2025","passed","Tue May 13 10:04:59 GMT 2025","W177-fl - A-CLASS (HATCHBACK)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","47061","test_run[test_case352]","ES/es","Tue May 13 10:53:28 GMT 2025","failed","Tue May 13 10:54:15 GMT 2025","V167-fl - GLE (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38309","test_run[test_case499]","LU/fr","Tue May 13 10:52:46 GMT 2025","passed","Tue May 13 10:53:24 GMT 2025","N465 - G-CLASS-ELECTRIC (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","42322","test_run[test_case368]","FR/fr","Tue May 13 09:37:27 GMT 2025","passed","Tue May 13 09:38:09 GMT 2025","V223 - S-CLASS (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","44519","test_run[test_case640]","SE/sv","Tue May 13 11:52:24 GMT 2025","passed","Tue May 13 11:53:09 GMT 2025","V297 - EQS (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32855","test_run[test_case402]","HU/hu","Tue May 13 10:43:44 GMT 2025","passed","Tue May 13 10:44:16 GMT 2025","X167-fl - GLS (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","33709","test_run[test_case121]","CH/de","Tue May 13 09:18:32 GMT 2025","passed","Tue May 13 09:19:05 GMT 2025","V295 - EQE (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","44580","test_run[test_case562]","PL/pl","Tue May 13 11:36:41 GMT 2025","failed","Tue May 13 11:37:26 GMT 2025","C236 - CLE (COUPE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","27962","test_run[test_case158]","CH/fr","Tue May 13 08:51:47 GMT 2025","failed","Tue May 13 08:52:15 GMT 2025","X167-fl - GLS (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36362","test_run[test_case82]","BE/nl","Tue May 13 08:44:38 GMT 2025","passed","Tue May 13 08:45:15 GMT 2025","S214 - ESTATE (MODELS)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","44598","test_run[test_case494]","LU/fr","Tue May 13 11:14:53 GMT 2025","failed","Tue May 13 11:15:38 GMT 2025","S206 - C-CLASS (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35959","test_run[test_case511]","LU/fr","Tue May 13 11:18:10 GMT 2025","passed","Tue May 13 11:18:46 GMT 2025","S214 - E-CLASS (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","45080","test_run[test_case45]","AT/de","Tue May 13 08:10:18 GMT 2025","passed","Tue May 13 08:11:03 GMT 2025","X118-fl - CLA-SHOOTING-BRAKE (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","41896","test_run[test_case46]","AT/de","Tue May 13 08:11:03 GMT 2025","passed","Tue May 13 08:11:45 GMT 2025","X243-fl - EQB (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","34830","test_run[test_case174]","CH/fr","Tue May 13 08:39:44 GMT 2025","passed","Tue May 13 08:40:19 GMT 2025","W465 - G-CLASS (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","48229","test_run[test_case86]","BE/fr","Tue May 13 08:10:57 GMT 2025","failed","Tue May 13 08:11:46 GMT 2025","W223 - S-CLASS (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","33591","test_run[test_case537]","NL/nl","Tue May 13 11:08:11 GMT 2025","passed","Tue May 13 11:08:44 GMT 2025","X243-fl - EQB (SUV)","Last Configuration Completed","",""
"❌ Skipping test 'Last Configuration Completed' due to lack of CONFIGURATOR URL.","1389","test_run[test_case513]","LU/fr","Tue May 13 11:18:48 GMT 2025","skipped","Tue May 13 11:18:49 GMT 2025","V177-fl - A-CLASS (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37811","test_run[test_case462]","LU/de","Tue May 13 10:36:36 GMT 2025","passed","Tue May 13 10:37:13 GMT 2025","X167-fl - GLS (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","43187","test_run[test_case685]","SK/sk","Tue May 13 12:06:23 GMT 2025","passed","Tue May 13 12:07:06 GMT 2025","X118-fl - CLA-SHOOTING-BRAKE (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","34651","test_run[test_case473]","LU/de","Tue May 13 10:42:44 GMT 2025","passed","Tue May 13 10:43:18 GMT 2025","H243-fl - EQA (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","30531","test_run[test_case616]","RO/ro","Tue May 13 11:43:35 GMT 2025","failed","Tue May 13 11:44:05 GMT 2025","W247-fl - B-CLASS (HATCHBACK)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","42130","test_run[test_case530]","NL/nl","Tue May 13 11:00:59 GMT 2025","failed","Tue May 13 11:01:41 GMT 2025","N465 - G-CLASS-ELECTRIC (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","39425","test_run[test_case258]","CZ/cs","Tue May 13 10:02:29 GMT 2025","passed","Tue May 13 10:03:08 GMT 2025","C236 - CLE (COUPE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","34355","test_run[test_case601]","PT/pt","Tue May 13 11:36:17 GMT 2025","passed","Tue May 13 11:36:51 GMT 2025","A236 - CLE (CABRIOLET-ROADSTER)","Last Configuration Completed","",""
"❌ Skipping test 'Last Configuration Completed' due to lack of CONFIGURATOR URL.","835","test_run[test_case84]","BE/nl","Tue May 13 08:45:15 GMT 2025","skipped","Tue May 13 08:45:16 GMT 2025","C178 - SALOON (MODELS)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","34091","test_run[test_case584]","PT/pt","Tue May 13 11:34:30 GMT 2025","passed","Tue May 13 11:35:04 GMT 2025","C167-fl - GLE-COUPE (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","39582","test_run[test_case262]","CZ/cs","Tue May 13 10:07:27 GMT 2025","passed","Tue May 13 10:08:07 GMT 2025","H243-fl - EQA (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","33696","test_run[test_case166]","CH/fr","Tue May 13 09:12:51 GMT 2025","failed","Tue May 13 09:13:25 GMT 2025","W177-fl - A-CLASS (HATCHBACK)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37848","test_run[test_case535]","NL/nl","Tue May 13 11:07:00 GMT 2025","passed","Tue May 13 11:07:37 GMT 2025","H243-fl - EQA (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","43817","test_run[test_case357]","ES/es","Tue May 13 11:08:08 GMT 2025","failed","Tue May 13 11:08:52 GMT 2025","C118-fl - CLA (COUPE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","46216","test_run[test_case234]","GB/en","Tue May 13 09:37:32 GMT 2025","failed","Tue May 13 09:38:18 GMT 2025","C118-fl - CLA (COUPE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36914","test_run[test_case433]","IT/it","Tue May 13 10:30:04 GMT 2025","passed","Tue May 13 10:30:41 GMT 2025","S206 - C-CLASS (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","48666","test_run[test_case570]","PL/pl","Tue May 13 12:00:17 GMT 2025","failed","Tue May 13 12:01:05 GMT 2025","C118-fl - CLA (COUPE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36076","test_run[test_case118]","CH/de","Tue May 13 09:15:48 GMT 2025","passed","Tue May 13 09:16:24 GMT 2025","X247-fl - GLB (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35264","test_run[test_case376]","FR/fr","Tue May 13 09:55:41 GMT 2025","failed","Tue May 13 09:56:16 GMT 2025","W206 - C-CLASS (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","9350","test_run[test_case566]","PL/pl","Tue May 13 11:49:17 GMT 2025","failed","Tue May 13 11:49:26 GMT 2025","H243-fl - EQA (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","9545","test_run[test_case231]","GB/en","Tue May 13 09:30:13 GMT 2025","failed","Tue May 13 09:30:22 GMT 2025","X290-fl - AMG-GT (COUPE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","39336","test_run[test_case613]","RO/ro","Tue May 13 11:39:04 GMT 2025","passed","Tue May 13 11:39:43 GMT 2025","C167-fl - GLE-COUPE (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","33403","test_run[test_case575]","PT/pt","Tue May 13 11:27:09 GMT 2025","passed","Tue May 13 11:27:43 GMT 2025","X296 - EQS (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","39649","test_run[test_case137]","CH/de","Tue May 13 08:15:19 GMT 2025","passed","Tue May 13 08:15:59 GMT 2025","V167-fl - GLE (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32438","test_run[test_case617]","RO/ro","Tue May 13 11:44:45 GMT 2025","passed","Tue May 13 11:45:17 GMT 2025","X294 - EQE (SUV)","Last Configuration Completed","",""
"❌ Skipping test 'Last Configuration Completed' due to lack of CONFIGURATOR URL.","707","test_run[test_case391]","FR/fr","Tue May 13 10:32:08 GMT 2025","skipped","Tue May 13 10:32:09 GMT 2025","C178 - NEW (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36243","test_run[test_case540]","NL/nl","Tue May 13 11:11:00 GMT 2025","passed","Tue May 13 11:11:36 GMT 2025","W465 - G-CLASS (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38376","test_run[test_case665]","SK/sk","Tue May 13 12:01:35 GMT 2025","passed","Tue May 13 12:02:13 GMT 2025","R232 - SL (CABRIOLET-ROADSTER)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","0","test_run[test_case6]","","Tue May 13 08:07:21 GMT 2025","passed","Tue May 13 08:07:21 GMT 2025","","QAAppAllure","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","33570","test_run[test_case480]","LU/de","Tue May 13 10:49:08 GMT 2025","passed","Tue May 13 10:49:42 GMT 2025","S214 - E-CLASS (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37710","test_run[test_case403]","HU/hu","Tue May 13 09:59:48 GMT 2025","passed","Tue May 13 10:00:25 GMT 2025","S206 - C-CLASS (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37227","test_run[test_case461]","LU/de","Tue May 13 10:34:02 GMT 2025","passed","Tue May 13 10:34:39 GMT 2025","C167-fl - GLE-COUPE (SUV)","Last Configuration Completed","",""
"❌ Skipping test 'Last Configuration Completed' due to lack of CONFIGURATOR URL.","832","test_run[test_case270]","CZ/cs","Tue May 13 09:15:56 GMT 2025","skipped","Tue May 13 09:15:57 GMT 2025","C178 - NEW (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","39419","test_run[test_case236]","GB/en","Tue May 13 09:39:00 GMT 2025","passed","Tue May 13 09:39:39 GMT 2025","A236 - CLE (CABRIOLET-ROADSTER)","Last Configuration Completed","",""
"❌ Skipping test 'Last Configuration Completed' due to lack of CONFIGURATOR URL.","765","test_run[test_case482]","LU/de","Tue May 13 10:49:42 GMT 2025","skipped","Tue May 13 10:49:43 GMT 2025","V177-fl - A-CLASS (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40539","test_run[test_case326]","DK/da","Tue May 13 09:35:05 GMT 2025","passed","Tue May 13 09:35:46 GMT 2025","C118-fl - CLA (COUPE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","41851","test_run[test_case147]","CH/fr","Tue May 13 08:24:39 GMT 2025","passed","Tue May 13 08:25:21 GMT 2025","X296 - EQS (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","45273","test_run[test_case652]","SE/sv","Tue May 13 11:56:25 GMT 2025","passed","Tue May 13 11:57:10 GMT 2025","V167-fl - GLE (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37426","test_run[test_case620]","RO/ro","Tue May 13 11:47:25 GMT 2025","passed","Tue May 13 11:48:03 GMT 2025","N465 - G-CLASS-ELECTRIC (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","33138","test_run[test_case587]","PT/pt","Tue May 13 11:24:01 GMT 2025","passed","Tue May 13 11:24:34 GMT 2025","X294 - EQE (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38403","test_run[test_case329]","DK/da","Tue May 13 09:39:08 GMT 2025","passed","Tue May 13 09:39:46 GMT 2025","S214 - E-CLASS (ESTATE)","Last Configuration Completed","",""
"❌ Skipping test 'Last Configuration Completed' due to lack of CONFIGURATOR URL.","1090","test_run[test_case208]","CH/it","Tue May 13 08:47:13 GMT 2025","skipped","Tue May 13 08:47:14 GMT 2025","C178 - NEW (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","43867","test_run[test_case349]","ES/es","Tue May 13 10:44:37 GMT 2025","failed","Tue May 13 10:45:21 GMT 2025","C236 - CLE (COUPE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","46238","test_run[test_case493]","LU/fr","Tue May 13 11:11:55 GMT 2025","failed","Tue May 13 11:12:41 GMT 2025","X167-fl - GLS (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","42249","test_run[test_case41]","AT/de","Tue May 13 08:29:19 GMT 2025","passed","Tue May 13 08:30:01 GMT 2025","W177-fl - A-CLASS (HATCHBACK)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36843","test_run[test_case182]","CH/it","Tue May 13 08:51:34 GMT 2025","passed","Tue May 13 08:52:11 GMT 2025","Z223 - MAYBACH-S-CLASS (SALOON-LONG)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","41240","test_run[test_case132]","CH/de","Tue May 13 08:11:02 GMT 2025","passed","Tue May 13 08:11:44 GMT 2025","X254 - GLC (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35272","test_run[test_case591]","PT/pt","Tue May 13 11:27:18 GMT 2025","passed","Tue May 13 11:27:53 GMT 2025","C236 - CLE (COUPE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38267","test_run[test_case676]","SK/sk","Tue May 13 12:04:52 GMT 2025","passed","Tue May 13 12:05:31 GMT 2025","X294 - EQE (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36555","test_run[test_case204]","CH/it","Tue May 13 09:10:22 GMT 2025","passed","Tue May 13 09:10:58 GMT 2025","C118-fl - CLA (COUPE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38453","test_run[test_case54]","BE/nl","Tue May 13 08:17:25 GMT 2025","passed","Tue May 13 08:18:03 GMT 2025","X296 - SUV (MODELS)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","1","test_run[test_case2]","","Tue May 13 08:07:21 GMT 2025","passed","Tue May 13 08:07:21 GMT 2025","","QAAppAllure","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36159","test_run[test_case202]","CH/it","Tue May 13 09:08:53 GMT 2025","passed","Tue May 13 09:09:29 GMT 2025","X243-fl - EQB (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36247","test_run[test_case592]","PT/pt","Tue May 13 11:28:20 GMT 2025","passed","Tue May 13 11:28:57 GMT 2025","W177-fl - A-CLASS (HATCHBACK)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","47027","test_run[test_case312]","DK/da","Tue May 13 09:53:50 GMT 2025","passed","Tue May 13 09:54:37 GMT 2025","S206 - C-CLASS (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","41491","test_run[test_case113]","BE/fr","Tue May 13 09:13:00 GMT 2025","passed","Tue May 13 09:13:42 GMT 2025","S214 - E-CLASS (ESTATE)","Last Configuration Completed","",""
